,,demturnout,demturnout,demturnout,dem,dem,dem,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
Georgia,HALL COUNTY,0.09729207831866356,0.1115362079068004,0.16292193337585753,12999,16180,25031,133608,145065,153638
Georgia,HANCOCK COUNTY,0.44006917653319144,0.37244897959183676,0.41602787456445994,3308,2701,2985,7517,7252,7175
Georgia,HARALSON COUNTY,0.0839906103286385,0.0674624954262715,0.07916243318460926,1789,1475,1792,21300,21864,22637
Georgia,HARRIS COUNTY,0.16490948876069225,0.15550903901046623,0.19685437033296058,4145,4086,5457,25135,26275,27721
Georgia,HART COUNTY,0.14410524201646918,0.12885056325391286,0.1519029976423038,2870,2585,3157,19916,20062,20783
Georgia,HEARD COUNTY,0.10778851620238772,0.08323997311225632,0.08875484704868591,948,743,824,8795,8926,9284
Georgia,HENRY COUNTY,0.2923734758643728,0.3078498419453635,0.41803919331374617,43761,50057,73276,149675,162602,175285
Georgia,HOUSTON COUNTY,0.2111440768608339,0.20067089013061892,0.27421454276307394,22702,22553,32232,107519,112388,117543
Georgia,IRWIN COUNTY,0.15410588870880604,0.12232289950576607,0.13515687851971037,1141,891,1008,7404,7284,7458
Georgia,JACKSON COUNTY,0.09393146859346602,0.09260557571758496,0.14022275638085102,4238,4491,7642,45118,48496,54499
Georgia,JASPER COUNTY,0.17945725124015174,0.14758172433569108,0.16120468692786524,1845,1544,1761,10281,10462,10924
Georgia,JEFF DAVIS COUNTY,0.11580381471389646,0.08238844184345281,0.09197459067728371,1275,901,1028,11010,10936,11177
Georgia,JEFFERSON COUNTY,0.34656364375762505,0.3184166666666667,0.34418171031443345,4261,3821,4061,12295,12000,11799
Georgia,JENKINS COUNTY,0.21241970021413276,0.16142015236452495,0.18192269004167266,1488,1123,1266,7005,6957,6959
Georgia,JOHNSON COUNTY,0.16367741126301266,0.14399797185955127,0.15612622971764406,1305,1136,1222,7973,7889,7827
Georgia,JONES COUNTY,0.19967297360429806,0.1822490107665409,0.22015043012205557,4274,3961,4888,21405,21734,22203
Georgia,LAMAR COUNTY,0.18340734475223797,0.15508642481382798,0.17311002250761287,2602,2270,2615,14187,14637,15106
Georgia,LANIER COUNTY,0.14285714285714285,0.1032539072508327,0.12851557573464498,1114,806,1019,7798,7806,7929
Georgia,LAURENS COUNTY,0.2099717727285431,0.19005798570061364,0.2247869911455143,7513,6752,8073,35781,35526,35914
Georgia,LEE COUNTY,0.15330007674597085,0.14807548579970103,0.20603923695868367,3196,3170,4558,20848,21408,22122
Georgia,LIBERTY COUNTY,0.2305487576338823,0.2167384894533908,0.2974746786574011,10457,9556,13099,45357,44090,44034
Georgia,LINCOLN COUNTY,0.2530312699425654,0.2016154577130187,0.22268777157045314,1586,1273,1435,6268,6314,6444
Georgia,LONG COUNTY,0.128223368308732,0.10331206320267396,0.1427768803989044,1442,1360,2033,11246,13164,14239
Georgia,LOWNDES COUNTY,0.20091313698204777,0.17316136745062877,0.22581550411961476,17470,15064,20117,86953,86994,89086
Georgia,LUMPKIN COUNTY,0.08359775445447888,0.08640485735414315,0.11239348506094272,2055,2220,3126,24582,25693,27813
Georgia,MACON COUNTY,0.28423475258918296,0.2500693353055376,0.27078002085110414,3211,2705,2857,11297,10817,10551
Georgia,MADISON COUNTY,0.11624329993008622,0.10934752220769266,0.14799548767788961,2494,2425,3411,21455,22177,23048
Georgia,MARION COUNTY,0.21326083673161153,0.18301146650573324,0.19764812302125734,1412,1213,1311,6621,6628,6633
Georgia,MCDUFFIE COUNTY,0.2521354199139597,0.23179596440656725,0.26030477142143393,4044,3699,4168,16039,15958,16012
Georgia,MCINTOSH COUNTY,0.25644699140401145,0.19829516101257103,0.21567170341012304,2864,2303,2612,11168,11614,12111
Georgia,MERIWETHER COUNTY,0.26234175298322127,0.23130244436337102,0.25643019499940184,4331,3804,4287,16509,16446,16718
Georgia,MILLER COUNTY,0.18590442941304822,0.1379539415411869,0.16984126984126985,852,623,749,4583,4516,4410
Georgia,MITCHELL COUNTY,0.233680714612918,0.20255146419251957,0.23560981363529135,4081,3493,3995,17464,17245,16956
Georgia,MONROE COUNTY,0.1838985521329317,0.1676053693795175,0.19940868774164203,3785,3571,4384,20582,21306,21985
Georgia,MONTGOMERY COUNTY,0.16492298750363266,0.11946403385049366,0.13334241351130482,1135,847,979,6882,7090,7342
Georgia,MORGAN COUNTY,0.2037900658820046,0.1904046904046904,0.22459499263622976,2753,2663,3355,13509,13986,14938
Georgia,MURRAY COUNTY,0.08744410044719642,0.061089428135075514,0.0759936616928562,2542,1800,2302,29070,29465,30292
Georgia,MUSCOGEE COUNTY,0.28533799815015887,0.27005909300371367,0.336113410876912,42573,39851,49529,149202,147564,147358
Georgia,NEWTON COUNTY,0.29951339867041327,0.28102867534995707,0.3594749161458459,21851,21943,29794,72955,78081,82882
Georgia,OCONEE COUNTY,0.18135203872343916,0.20646664940253784,0.275092686215032,4421,5581,8162,24378,27031,29670
Georgia,OGLETHORPE COUNTY,0.17026954897251134,0.1586380176745798,0.20133895363253163,1914,1831,2436,11241,11542,12099
Georgia,PAULDING COUNTY,0.15391124208560675,0.15890857797760732,0.23761299096072314,15825,18025,29704,102819,113430,125010
Georgia,PEACH COUNTY,0.2835401005395932,0.24177491229733575,0.2712982906374593,6148,5100,5920,21683,21094,21821
Georgia,PICKENS COUNTY,0.08612043779706101,0.08123306789261965,0.10742979569974749,1975,1979,2808,22933,24362,26138
Georgia,PIERCE COUNTY,0.07985223074737141,0.0630850915187928,0.0748502994011976,1124,903,1100,14076,14314,14696
Georgia,PIKE COUNTY,0.1028987706784034,0.09078928100746815,0.10299048792171354,1356,1240,1505,13178,13658,14613
Georgia,POLK COUNTY,0.11954760408743675,0.09290945621880874,0.1150314465408805,3615,2867,3658,30239,30858,31800
Georgia,PULASKI COUNTY,0.1304999464725404,0.12039258451472191,0.13332602979842242,1219,1104,1217,9341,9170,9128
Georgia,PUTNAM COUNTY,0.17666948436179206,0.1616741895773492,0.19386033959293827,2926,2758,3448,16562,17059,17786
Georgia,QUITMAN COUNTY,0.3177570093457944,0.24365750528541227,0.26591760299625467,612,461,497,1926,1892,1869
Georgia,RABUN COUNTY,0.11913495338529727,0.10656040144638772,0.13876066582738844,1559,1444,1984,13086,13551,14298
Georgia,RANDOLPH COUNTY,0.31096275474349966,0.2823321554770318,0.30938715052768007,1770,1598,1671,5692,5660,5401
Georgia,RICHMOND COUNTY,0.3423345968971042,0.31486809004708766,0.3778736458632921,52560,48814,59124,153534,155030,156465
Georgia,ROCKDALE COUNTY,0.3492831313836199,0.3494995341008146,0.45354120396580005,22023,23255,31244,63052,66538,68889
Georgia,SCHLEY COUNTY,0.12409972299168975,0.10429128738621586,0.11541343992005995,448,401,462,3610,3845,4003
Georgia,SCREVEN COUNTY,0.2571137269441097,0.20920502092050208,0.24173328488372092,2774,2300,2661,10789,10994,11008
Georgia,SEMINOLE COUNTY,0.21598714014321205,0.17930930478057608,0.19575398064314706,1478,1189,1254,6843,6631,6406
Georgia,SPALDING COUNTY,0.20660863756862255,0.1905392196790747,0.2307827892129022,9898,9357,11784,47907,49108,51061
Georgia,STEPHENS COUNTY,0.10693496587715777,0.09243232363892523,0.11867442901925661,2131,1837,2385,19928,19874,20097
