State,County,Year,Reg_Voters
Pennsylvania,JUNIATA COUNTY,2020,14482
Pennsylvania,LACKAWANNA COUNTY,2020,149461
Pennsylvania,LANCASTER COUNTY,2020,354210
Pennsylvania,LAWRENCE COUNTY,2020,57385
Pennsylvania,LEBANON COUNTY,2020,92694
Pennsylvania,LEHIGH COUNTY,2020,249421
Pennsylvania,LUZERNE COUNTY,2020,220900
Pennsylvania,LYCOMING COUNTY,2020,73894
Pennsylvania,MCKEAN COUNTY,2020,25854
Pennsylvania,MERCER COUNTY,2020,74917
Pennsylvania,MIFFLIN COUNTY,2020,27370
Pennsylvania,MONROE COUNTY,2020,118347
Pennsylvania,MONTGOMERY COUNTY,2020,609649
Pennsylvania,MONTOUR COUNTY,2020,14038
Pennsylvania,NORTHAMPTON COUNTY,2020,227423
Pennsylvania,NORTHUMBERLAND COUNTY,2020,57643
Pennsylvania,PERRY COUNTY,2020,30036
Pennsylvania,PHILADELPHIA COUNTY,2020,1129339
Pennsylvania,PIKE COUNTY,2020,44827
Pennsylvania,POTTER COUNTY,2020,11318
Pennsylvania,SCHUYLKILL COUNTY,2020,90424
Pennsylvania,SNYDER COUNTY,2020,23702
Pennsylvania,SOMERSET COUNTY,2020,49246
Pennsylvania,SULLIVAN COUNTY,2020,4329
Pennsylvania,SUSQUEHANNA COUNTY,2020,27272
Pennsylvania,TIOGA COUNTY,2020,26933
Pennsylvania,UNION COUNTY,2020,26263
Pennsylvania,VENANGO COUNTY,2020,33354
Pennsylvania,WARREN COUNTY,2020,31432
Pennsylvania,WASHINGTON COUNTY,2020,154036
Pennsylvania,WAYNE COUNTY,2020,34548
Pennsylvania,WESTMORELAND COUNTY,2020,253881
Pennsylvania,WYOMING COUNTY,2020,18337
Pennsylvania,YORK COUNTY,2020,311197
Wisconsin,ADAMS COUNTY,2020,12805
Wisconsin,ASHLAND COUNTY,2020,9770
Wisconsin,BARRON COUNTY,2020,27632
Wisconsin,BAYFIELD COUNTY,2020,11795
Wisconsin,BROWN COUNTY,2020,162076
Wisconsin,BUFFALO COUNTY,2020,8405
Wisconsin,BURNETT COUNTY,2020,10795
Wisconsin,CALUMET COUNTY,2020,33050
Wisconsin,CHIPPEWA COUNTY,2020,38859
Wisconsin,CLARK COUNTY,2020,16113
Wisconsin,COLUMBIA COUNTY,2020,36898
Wisconsin,CRAWFORD COUNTY,2020,9378
Wisconsin,DANE COUNTY,2020,390887
Wisconsin,DODGE COUNTY,2020,52433
Wisconsin,DOOR COUNTY,2020,21826
Wisconsin,DOUGLAS COUNTY,2020,27308
Wisconsin,DUNN COUNTY,2020,25969
Wisconsin,EAU CLAIRE COUNTY,2020,65337
Wisconsin,FLORENCE COUNTY,2020,3205
Wisconsin,FOND DU LAC COUNTY,2020,61390
Wisconsin,FOREST COUNTY,2020,5761
Wisconsin,GRANT COUNTY,2020,27685
Wisconsin,GREEN COUNTY,2020,23061
Wisconsin,GREEN LAKE COUNTY,2020,11524
