,,repturnout,repturnout,repturnout,gop,gop,gop,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
Georgia,DOUGHERTY COUNTY,0.16195150932186608,0.14993918611978135,0.15563727314683856,11449,10232,10454,70694,68241,67169
Georgia,DOUGLAS COUNTY,0.27103151240975426,0.2379911198059016,0.23399560528469113,26241,24817,25451,96819,104277,108767
Georgia,EARLY COUNTY,0.32256843698751103,0.3309128630705394,0.3554917069348309,2557,2552,2722,7927,7712,7657
Georgia,ECHOLS COUNTY,0.32006980802792323,0.34904679376083186,0.4238947013162335,917,1007,1256,2865,2885,2963
Georgia,EFFINGHAM COUNTY,0.4038112992594894,0.4157130895897293,0.4934198018547075,15596,17874,23358,38622,42996,47339
Georgia,ELBERT COUNTY,0.3198815009874918,0.35481059336238685,0.41412797658640416,4859,5292,6226,15190,14915,15034
Georgia,EMANUEL COUNTY,0.29941877531849936,0.31850746268656716,0.3846289337717238,5100,5335,6551,17033,16750,17032
Georgia,EVANS COUNTY,0.2878903274942879,0.3091961414790997,0.36827339964294825,2268,2404,2888,7878,7775,7842
Georgia,FANNIN COUNTY,0.4070984455958549,0.46441658630665383,0.5543963553530752,7857,9632,12169,19300,20740,21950
Georgia,FAYETTE COUNTY,0.4724707459019445,0.4114387678437265,0.43078320090805905,38075,35048,37952,80587,85184,88100
Georgia,FLOYD COUNTY,0.311223372214008,0.3257504120173993,0.38371740648510483,22733,24114,29123,73044,74026,75897
Georgia,FORSYTH COUNTY,0.5024777762529924,0.44249822623150215,0.4766763358607636,65908,69851,85122,131166,157856,178574
Georgia,FRANKLIN COUNTY,0.35884493485150837,0.4048671296562016,0.4969587374650666,6114,7054,9069,17038,17423,18249
Georgia,FULTON COUNTY,0.1835724087151511,0.14883223125144526,0.16418153280759512,137124,117783,137240,746975,791381,835904
Georgia,GILMER COUNTY,0.4008082622361922,0.4379284400601906,0.5279109992923972,8926,10477,13429,22270,23924,25438
Georgia,GLASCOCK COUNTY,0.4928354320451585,0.5414291977202981,0.6026632302405498,1135,1235,1403,2303,2281,2328
Georgia,GLYNN COUNTY,0.33766464646464645,0.3303896423031439,0.38195780213225977,20893,21512,25616,61875,65111,67065
Georgia,GORDON COUNTY,0.3207593029190871,0.35582778974983603,0.43983317844919423,13197,15191,19405,41143,42692,44119
Georgia,GRADY COUNTY,0.3151063829787234,0.32550010755001074,0.3795801629701581,5924,6053,7034,18800,18596,18531
Georgia,GREENE COUNTY,0.39334470989761094,0.4019327915660004,0.47490425317476315,5071,5490,7068,12892,13659,14883
Georgia,GWINNETT COUNTY,0.26710121123310515,0.22400644943018858,0.24214614357096917,159855,146989,166413,598481,656182,687242
Georgia,HABERSHAM COUNTY,0.3659497668822379,0.38733738583972044,0.4722529734025945,12166,13190,16637,33245,34053,35229
Georgia,HALL COUNTY,0.3553754266211604,0.3566194464550374,0.4176701076556581,47481,51733,64170,133608,145065,153638
Georgia,HANCOCK COUNTY,0.10230145004656113,0.11624379481522339,0.16153310104529617,769,843,1159,7517,7252,7175
Georgia,HARALSON COUNTY,0.3965258215962441,0.43839187705817784,0.5447276582586031,8446,9585,12331,21300,21864,22637
Georgia,HARRIS COUNTY,0.44547443803461306,0.4542721217887726,0.5165398073662566,11197,11936,14319,25135,26275,27721
Georgia,HART COUNTY,0.32722434223739705,0.3631741601036786,0.45537217918491074,6517,7286,9464,19916,20062,20783
Georgia,HEARD COUNTY,0.3592950540079591,0.3775487340354022,0.4864282636794485,3160,3370,4516,8795,8926,9284
Georgia,HENRY COUNTY,0.3125037581426424,0.28120195323550756,0.27490658071141283,46774,45724,48187,149675,162602,175285
