,,turnout,turnout,turnout,winner,winner,winner,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020
Georgia,GILMER COUNTY,0.4947462954647508,0.5338990135428858,0.6496186807138926,red,red,red,22270,23924,25438
Georgia,GLASCOCK COUNTY,0.5788102475032566,0.6093818500657606,0.6726804123711341,red,red,red,2303,2281,2328
Georgia,GLYNN COUNTY,0.5354828282828283,0.5262244474819923,0.6260195332886006,red,red,red,61875,65111,67065
Georgia,GORDON COUNTY,0.41068954621685344,0.4440878853180924,0.5447312949069562,red,red,red,41143,42692,44119
Georgia,GRADY COUNTY,0.4997872340425532,0.49542912454291244,0.5777885705034806,red,red,red,18800,18596,18531
Georgia,GREENE COUNTY,0.645594166925225,0.6480708690240867,0.7556944164482967,red,red,red,12892,13659,14883
Georgia,GWINNETT COUNTY,0.4958018717386183,0.5003657521846073,0.6022114480779697,red,blue,blue,598481,656182,687242
Georgia,HABERSHAM COUNTY,0.440397052188299,0.47699174815728423,0.5799767237219337,red,red,red,33245,34053,35229
Georgia,HALL COUNTY,0.4592838752170529,0.4873263709371661,0.5891966831122509,red,red,red,133608,145065,153638
Georgia,HANCOCK COUNTY,0.5438339763203406,0.4936569222283508,0.5804878048780487,blue,blue,blue,7517,7252,7175
Georgia,HARALSON COUNTY,0.48713615023474177,0.5194383461397731,0.6294120245615585,red,red,red,21300,21864,22637
Georgia,HARRIS COUNTY,0.6161925601750547,0.6280494766888678,0.7211500306626745,red,red,red,25135,26275,27721
Georgia,HART COUNTY,0.4775557340831492,0.5042867111952946,0.6123754992060819,red,red,red,19916,20062,20783
Georgia,HEARD COUNTY,0.47436043206367257,0.473112256329823,0.5806764325721672,red,red,red,8795,8926,9284
Georgia,HENRY COUNTY,0.6105094371137465,0.6074095029581432,0.7002424622757224,red,blue,blue,149675,162602,175285
Georgia,HOUSTON COUNTY,0.5399603790957878,0.5345677474463466,0.6365585360251143,red,red,red,107519,112388,117543
Georgia,IRWIN COUNTY,0.500945434900054,0.5038440417353103,0.558862965942612,red,red,red,7404,7284,7458
Georgia,JACKSON COUNTY,0.5253778979564697,0.5606647970966677,0.6912053432173068,red,red,red,45118,48496,54499
Georgia,JASPER COUNTY,0.5866160879291897,0.577805390938635,0.699743683632369,red,red,red,10281,10462,10924
Georgia,JEFF DAVIS COUNTY,0.4846503178928247,0.46598390636430137,0.5163281739286034,red,red,red,11010,10936,11177
Georgia,JEFFERSON COUNTY,0.5935746238308255,0.5806666666666667,0.6476820069497415,blue,blue,blue,12295,12000,11799
Georgia,JENKINS COUNTY,0.48394004282655245,0.4392698002012362,0.4964793792211525,red,red,red,7005,6957,6959
Georgia,JOHNSON COUNTY,0.473096701367114,0.46723285587526936,0.5238277756483966,red,red,red,7973,7889,7827
Georgia,JONES COUNTY,0.5655220742817099,0.5774822858194534,0.6740530558933477,red,red,red,21405,21734,22203
Georgia,LAMAR COUNTY,0.5351378022132939,0.5200519232083077,0.5983715080100622,red,red,red,14187,14637,15106
Georgia,LANIER COUNTY,0.38112336496537574,0.36779400461183703,0.4510026485054862,red,red,red,7798,7806,7929
Georgia,LAURENS COUNTY,0.5478885441994354,0.5497382198952879,0.6328729743275603,red,red,red,35781,35526,35914
Georgia,LEE COUNTY,0.6536838066001535,0.6606408819133034,0.755537474007775,red,red,red,20848,21408,22122
Georgia,LIBERTY COUNTY,0.35650505985845626,0.36613744613290994,0.4857382931371213,blue,blue,blue,45357,44090,44034
Georgia,LINCOLN COUNTY,0.706126356094448,0.6496674057649667,0.7216014897579144,red,red,red,6268,6314,6444
Georgia,LONG COUNTY,0.3380757602703183,0.31274688544515344,0.39721890582203806,red,red,red,11246,13164,14239
Georgia,LOWNDES COUNTY,0.4500937287960162,0.43457020024369497,0.5203398962799991,red,red,red,86953,86994,89086
Georgia,LUMPKIN COUNTY,0.44361728093727115,0.4835947534347877,0.5584079387336857,red,red,red,24582,25693,27813
Georgia,MACON COUNTY,0.42320970169071437,0.39632060645280576,0.4418538527153824,blue,blue,blue,11297,10817,10551
Georgia,MADISON COUNTY,0.5175483570263342,0.5410109572981017,0.6480822631030893,red,red,red,21455,22177,23048
Georgia,MARION COUNTY,0.4787796405376831,0.48129149064574533,0.5463591135232926,red,red,red,6621,6628,6633
Georgia,MCDUFFIE COUNTY,0.5980422719620924,0.5807745331495174,0.6529477891581315,red,red,red,16039,15958,16012
Georgia,MCINTOSH COUNTY,0.5677829512893983,0.5082658859996556,0.5528858062918008,red,red,red,11168,11614,12111
Georgia,MERIWETHER COUNTY,0.5611484644739233,0.5604402286270218,0.6506161024045939,red,red,red,16509,16446,16718
Georgia,MILLER COUNTY,0.6054985817150338,0.5633303808680248,0.6428571428571429,red,red,red,4583,4516,4410
Georgia,MITCHELL COUNTY,0.47383188273018784,0.45694404175123227,0.5286034442085398,red,red,red,17464,17245,16956
Georgia,MONROE COUNTY,0.5964920804586532,0.5954660658969304,0.7092108255628838,red,red,red,20582,21306,21985
Georgia,MONTGOMERY COUNTY,0.5568148793955245,0.5043723554301833,0.5401797875238354,red,red,red,6882,7090,7342
Georgia,MORGAN COUNTY,0.6682211858760826,0.6774631774631774,0.7837059847369126,red,red,red,13509,13986,14938
Georgia,MURRAY COUNTY,0.38586171310629513,0.42280671983709484,0.5080219199788724,red,red,red,29070,29465,30292
Georgia,MUSCOGEE COUNTY,0.47320411254540823,0.4678105771055271,0.5465804367594566,blue,blue,blue,149202,147564,147358
Georgia,NEWTON COUNTY,0.5926118840381057,0.563350879215174,0.654412297000555,blue,blue,blue,72955,78081,82882
Georgia,OCONEE COUNTY,0.7308638936746247,0.7454034256964226,0.8482642399730367,red,red,red,24378,27031,29670
Georgia,OGLETHORPE COUNTY,0.5580464371497198,0.5782360076243286,0.6720390114885527,red,red,red,11241,11542,12099
Georgia,PAULDING COUNTY,0.5582528520993202,0.5720708807193864,0.6830253579713623,red,red,red,102819,113430,125010
Georgia,PEACH COUNTY,0.5311073190979108,0.5097184033374419,0.574904908116035,blue,red,red,21683,21094,21821
Georgia,PICKENS COUNTY,0.5529150132996119,0.5762252688613414,0.6548320452980335,red,red,red,22933,24362,26138
Georgia,PIERCE COUNTY,0.4863597612958227,0.5107586977783988,0.6156777354382145,red,red,red,14076,14314,14696
Georgia,PIKE COUNTY,0.615343754742753,0.638819739346903,0.7335933757613085,red,red,red,13178,13658,14613
Georgia,POLK COUNTY,0.4500148814444922,0.46065850022684557,0.5471383647798742,red,red,red,30239,30858,31800
Georgia,PULASKI COUNTY,0.39417621239695966,0.3931297709923664,0.4446757230499562,red,red,red,9341,9170,9128
Georgia,PUTNAM COUNTY,0.5568168095640623,0.5561873497860367,0.6665354773417295,red,red,red,16562,17059,17786
Georgia,QUITMAN COUNTY,0.5856697819314641,0.5517970401691332,0.5917602996254682,blue,red,red,1926,1892,1869
Georgia,RABUN COUNTY,0.5703041418309643,0.5897719725481514,0.6691845013288572,red,red,red,13086,13551,14298
Georgia,RANDOLPH COUNTY,0.5372452565003514,0.5121908127208481,0.569153860396223,blue,blue,blue,5692,5660,5401
Georgia,RICHMOND COUNTY,0.5146742741021533,0.4870992711088176,0.5561371552743425,blue,blue,blue,153534,155030,156465
Georgia,ROCKDALE COUNTY,0.6040252490008248,0.5691334275151041,0.6486666956988779,blue,blue,blue,63052,66538,68889
Georgia,SCHLEY COUNTY,0.4842105263157895,0.49648894668400523,0.5683237571821134,red,red,red,3610,3845,4003
Georgia,SCREVEN COUNTY,0.5653906756882009,0.5198289976350737,0.6021075581395349,red,red,red,10789,10994,11008
Georgia,SEMINOLE COUNTY,0.5507818208388134,0.5410948574875585,0.6063065875741492,red,red,red,6843,6631,6406
Georgia,SPALDING COUNTY,0.5236812991838353,0.5234177730715973,0.5898043516578211,red,red,red,47907,49108,51061
Georgia,STEPHENS COUNTY,0.47661581694098754,0.4938613263560431,0.59138179827835,red,red,red,19928,19874,20097
Georgia,STEWART COUNTY,0.39686484419805007,0.3864063086744273,0.337059620596206,blue,blue,blue,5231,5326,5904
Georgia,SUMTER COUNTY,0.49839919117027554,0.471472761642894,0.5319148936170213,blue,blue,blue,23738,23276,22842
Georgia,TALBOT COUNTY,0.6525233644859814,0.6213629402756509,0.6791361357500965,blue,blue,blue,5350,5224,5186
